key,en,fi,
empty,,,
new_game,NEW GAME,UUSI PELI,
load_game,LOAD GAME,LATAA PELI,
options,OPTIONS,ASETUKSET,
achievements,ACHIEVEMENTS,SAAVUTUKSET,
statistics,STATISTICS,TILASTOT,
quit_game,QUIT GAME,LOPETA PELI,
select_character,Select your character,Valitse hahmosi,
leo_desc,Ninja frog extraordinaire,Erinomainen ninjasammakko,
viivi_desc,Pink & wild,Pinkki & villi,
venla_desc,Mischiefs in small package,Kujeita pienessä paketissa,
milja_desc,Small and agile,Pieni ja ketterä,
level_complete,LEVEL COMPLETE,KENTTÄ LÄPÄISTY,
no_hits,No hits go player,Ei osumia pelaajaan,
got_required_score,Got required score,Keräsit tarvittavat pisteet,
time_under_par,Finished under par time,Läpäisit kentän alle tavoiteajan,
time,Time,Aika,
